Student_ID,Age,Gender,Course,Year_Level,GWA,Attendance_Rate,Library_Usage_Hours,Scholarship_Status,Counseling_Sessions,Academic_Standing,School_Environment_Feedback
S0052,18,Male,BSIT,1st Year,4.56,74.87,12.35,No,1,Probation,"The classrooms are bright, clean, and conducive to learning."
S0053,22,Male,BSCS,1st Year,2.52,51.3,7.41,No,10,Good,Some parts of the campus are too dark at night. Adding more lights would make it safer for evening classes.
S0054,19,Male,BSCE,3rd Year,1.5,54.01,17.8,No,3,Dropout_Risk,There’s a culture of respect here. It feels like a second home because of how welcoming everyone is.
S0055,21,Male,BSIT,2nd Year,4.17,76.21,7.32,Yes,5,Dropout_Risk,Crosswalks and signage near the gate are very helpful. They make it easier and safer to enter the campus.
S0056,25,Male,BSME,4th Year,2.56,89.11,3.15,No,1,Good,There’s a culture of respect here. It feels like a second home because of how welcoming everyone is.
S0057,24,Female,BSME,2nd Year,4.13,66.24,12.11,Yes,3,Good,We need more visible first aid kits or a dedicated emergency room. Minor injuries often go untreated.
S0058,18,Male,BSCS,2nd Year,3.64,68.1,11.18,No,2,Good,The teachers are very knowledgeable and always willing to assist. They encourage us to ask questions and participate.
S0059,21,Male,BSCS,1st Year,2.12,91.62,7.68,Yes,6,Probation,The guidance office is easy to approach and very helpful.
S0060,24,Male,BSCE,2nd Year,3.89,61.01,11.85,Yes,10,Dropout_Risk,Some instructors arrive late or cancel without notice. It disrupts our schedule and momentum.
S0061,24,Female,BSCE,3rd Year,1.13,94.11,19.92,Yes,9,Good,"The library is quiet and comfortable, with plenty of space to study."
S0062,25,Female,BSIT,1st Year,1.72,57.88,2.9,No,9,Dropout_Risk,We?re always updated with class announcements and grades through our online portal. It helps me stay organized.
S0063,18,Male,BSCS,2nd Year,3.84,91.26,19.78,No,6,Dropout_Risk,The academic environment is competitive but supportive.
S0064,23,Female,BSCE,4th Year,1.54,78.35,5.19,No,4,Good,We don?t have enough references in the library for our major. Most of the books are outdated.
S0065,18,Male,BSCE,2nd Year,1.58,73.95,7.12,Yes,5,Probation,"The library is quiet and comfortable, with plenty of space to study."
S0066,23,Male,BSECE,4th Year,2.99,70.35,16.88,No,6,Probation,"I like that we are encouraged to do practical work, not just theory. It makes the lessons more relevant and engaging."
S0067,22,Male,BSCS,2nd Year,1.72,74.35,5.29,No,3,Dropout_Risk,Our school celebrates student diversity through events and awareness weeks.
S0068,20,Male,BSCE,4th Year,1,56.17,13.97,No,5,Dropout_Risk,"Sometimes, classes are overcrowded and it?s hard to focus. Not all students get a chance to actively participate."
S0069,22,Female,BSME,3rd Year,1.09,67.62,1.83,No,4,Dropout_Risk,Our school celebrates student diversity through events and awareness weeks.
S0070,21,Female,BSCS,3rd Year,4.89,71.46,7.72,No,1,Good,The academic environment is competitive but supportive. Everyone helps each other out during deadlines.
S0071,18,Male,BSME,3rd Year,3.34,87.99,0.78,Yes,5,Probation,"The classrooms are bright, clean, and conducive to learning."
S0072,23,Female,BSME,4th Year,2.29,65.13,16.97,No,9,Dropout_Risk,Professors are open to feedback and adjust their methods based on student needs. That kind of flexibility really helps.
S0073,18,Female,BSCE,4th Year,2.13,80.94,6.76,No,1,Probation,"The classrooms are bright, clean, and conducive to learning."
S0074,24,Male,BSCE,3rd Year,2.2,62.49,10.18,No,10,Good,Group projects are common but hard to manage because not everyone contributes. I wish there were better systems to evaluate individual work.
S0075,22,Female,BSCE,3rd Year,2.71,93.78,12.45,No,1,Dropout_Risk,The academic environment is competitive but supportive.
S0076,24,Male,BSECE,4th Year,3.63,76.57,13.07,Yes,6,Good,There?s a lot of academic pressure but not enough counseling support. I wish we had more mental health check-ins.
S0077,20,Male,BSIT,1st Year,1.57,87.81,5.74,Yes,7,Dropout_Risk,There are many clubs and organizations to choose from. Joining one made me feel more connected to my classmates.
S0078,23,Female,BSCE,1st Year,1.07,73.85,16.33,Yes,10,Good,Security guards are friendly and respectful. I feel safe walking around campus.
S0079,25,Male,BSME,3rd Year,2.35,54.5,12.86,No,7,Probation,Student activities are inclusive and fun. I look forward to school events because they bring the campus alive.
S0080,21,Female,BSME,1st Year,3.62,66.55,19.05,Yes,0,Probation,Security guards are friendly and respectful. I feel safe walking around campus.
S0081,25,Female,BSIT,1st Year,1.42,50.15,17.86,No,3,Probation,"Sometimes there are too many events in one week, and it interferes with our academics. A better schedule would help."
S0082,20,Female,BSECE,1st Year,1.23,69.45,0.11,No,10,Dropout_Risk,"The library is quiet and comfortable, with plenty of space to study."
S0083,24,Male,BSIT,1st Year,3.82,64.19,18.25,Yes,4,Dropout_Risk,I like how diverse our school is. Everyone is accepted regardless of background or belief.
S0084,20,Male,BSIT,2nd Year,3.96,52.69,17.79,No,10,Good,Our computer labs are equipped with the latest software we need for our program.
S0085,25,Male,BSECE,1st Year,2.46,52.82,15.72,Yes,3,Dropout_Risk,"Some students are loud in common areas, especially during breaks. It?s hard to find a quiet space to study."
S0086,24,Male,BSIT,3rd Year,2.87,81,2.19,No,3,Good,Our computer labs are equipped with the latest software we need for our program.
S0087,18,Female,BSIT,4th Year,1.07,98.87,12.9,Yes,1,Good,Peer tutoring programs really help students like me who struggle in math. I hope these programs continue.
S0088,25,Female,BSIT,3rd Year,3.51,69.1,12.64,No,9,Good,Restrooms are usually clean and have the necessary supplies.
S0089,23,Female,BSME,4th Year,4.01,62.5,9.89,No,1,Good,There?s a lot of favoritism in student organizations. It makes it hard for new members to be heard.
S0090,21,Female,BSCE,2nd Year,4.49,64.16,9.7,Yes,7,Probation,Security guards are friendly and respectful. I feel safe walking around campus.
S0091,20,Female,BSCE,1st Year,4.7,70.97,17.29,No,10,Probation,Orientation for freshmen was helpful. It made my transition to college smoother.
S0092,20,Male,BSCS,4th Year,4.19,65.82,14.54,Yes,5,Dropout_Risk,Our computer labs are equipped with the latest software we need for our program.
S0093,25,Female,BSECE,3rd Year,2.82,84.72,13.66,No,7,Dropout_Risk,The guidance office is approachable and responds quickly. They helped me adjust when I had problems last semester.
S0094,23,Female,BSIT,2nd Year,1.53,99.56,14.86,Yes,0,Dropout_Risk,There’s a culture of respect here. It feels like a second home because of how welcoming everyone is.
S0095,22,Male,BSCE,1st Year,2.91,94.45,5.91,No,1,Dropout_Risk,Student government listens to feedback and raises our concerns well. I feel like we have a voice in campus decisions.
S0096,18,Male,BSECE,1st Year,3.15,60.77,12.6,No,4,Probation,There are gender-neutral policies in place and it makes LGBTQ+ students feel safe. The school is very inclusive.
S0097,24,Female,BSIT,1st Year,2.34,63.56,15.34,Yes,2,Good,The guidance office is easy to approach and very helpful.
S0098,25,Male,BSECE,3rd Year,1.27,54.71,4.85,Yes,10,Dropout_Risk,We need more counselors for mental health services. The waiting time for appointments is too long.
S0099,20,Male,BSME,3rd Year,3.2,76.43,10.25,Yes,9,Probation,The guidance office is easy to approach and very helpful.
S0100,25,Male,BSCS,2nd Year,2.25,81.7,7.55,Yes,6,Good,Teachers are sensitive to students with disabilities. They give reasonable accommodations without making students feel different.
S0101,20,Male,BSCE,4th Year,2.09,70.29,3.34,No,9,Probation,There’s a culture of respect here. It feels like a second home because of how welcoming everyone is.
S0102,18,Male,BSCS,4th Year,1.3,89.9,17.47,Yes,5,Probation,I feel like our concerns as working students are not fully understood. We need more flexible options.
S0103,24,Female,BSCS,2nd Year,2.74,84.48,9.66,Yes,3,Dropout_Risk,"The classrooms are bright, clean, and conducive to learning."
S0104,25,Female,BSME,4th Year,1.82,96.44,13.32,Yes,10,Good,There?s very little bullying in campus because of the zero-tolerance policy. It helps create a respectful environment.
S0105,24,Female,BSECE,4th Year,1.99,84.83,8.36,Yes,8,Good,Our computer labs are equipped with the latest software we need for our program.
S0106,19,Female,BSCS,3rd Year,1.2,92.74,0.99,Yes,0,Dropout_Risk,I wish the school had more programs for students with financial challenges. Scholarships are very limited.
S0107,22,Male,BSCE,1st Year,2.64,57.95,13.06,No,2,Dropout_Risk,There’s a culture of respect here. It feels like a second home because of how welcoming everyone is.
S0108,18,Female,BSME,1st Year,3.3,79.7,17.41,Yes,8,Good,There?s an open-door culture among most staff and faculty. It?s easy to approach them if I need help.
S0109,24,Female,BSECE,2nd Year,1.44,99.4,18.92,No,1,Probation,The academic environment is competitive but supportive.
S0110,20,Female,BSECE,1st Year,2.19,77.29,18.59,Yes,5,Probation,I?m grateful that the school observes inclusive holidays and respects diverse religious beliefs.
S0111,21,Female,BSCS,2nd Year,3.73,90.37,16.49,No,10,Good,"The classrooms are bright, clean, and conducive to learning."
S0112,23,Female,BSCS,1st Year,3.88,73.75,2.89,Yes,4,Good,Sometimes teachers assign too much work with overlapping deadlines. It affects our mental and physical health.
S0113,24,Female,BSCS,4th Year,4.96,85.69,2.69,Yes,9,Good,The campus grounds are clean and well-maintained.
S0114,25,Male,BSME,4th Year,3.58,76.61,7.66,Yes,1,Dropout_Risk,It?s nice to have quiet zones in the library. They really help when you need to concentrate or decompress.
S0115,25,Female,BSIT,4th Year,3.54,60.22,18.23,No,6,Probation,"The classrooms are bright, clean, and conducive to learning. It makes attending class more enjoyable."
S0116,25,Male,BSECE,2nd Year,4.65,61.98,16.6,No,7,Good,Our school celebrates student diversity through events and awareness weeks.
S0117,21,Female,BSME,2nd Year,1.59,79.77,12.46,No,3,Good,Our computer labs are equipped with the latest software we need for our program. I always look forward to our lab sessions.
S0118,18,Female,BSCS,4th Year,2.09,52.49,6.86,Yes,2,Dropout_Risk,The campus grounds are clean and well-maintained.
S0119,18,Female,BSCS,3rd Year,4.35,75.2,18.07,No,10,Good,"The library is quiet and comfortable, with plenty of space to study. I appreciate the free Wi-Fi and computer terminals."
S0120,18,Male,BSECE,1st Year,3.63,56.8,9.7,No,8,Good,The academic environment is competitive but supportive.
S0121,19,Male,BSCE,1st Year,1.7,92.01,19.74,No,10,Good,The campus grounds are clean and well-maintained. The greenery makes it a refreshing place to walk around.
S0122,22,Male,BSME,1st Year,1.01,51.95,1.68,Yes,9,Good,Our computer labs are equipped with the latest software we need for our program.
S0123,18,Male,BSIT,1st Year,2.78,60.3,2.55,Yes,6,Probation,There are enough charging stations in the student lounge. It?s convenient when we need to power our devices.
S0124,19,Female,BSME,3rd Year,3.65,85.99,5.5,Yes,6,Good,"The library is quiet and comfortable, with plenty of space to study."
S0125,24,Female,BSIT,1st Year,3.93,59.69,13.15,Yes,0,Dropout_Risk,The science labs are well-stocked with tools and materials. They make our practicals more exciting and hands-on.
S0126,23,Male,BSIT,2nd Year,4.78,51.88,11.04,Yes,4,Dropout_Risk,Restrooms are usually clean and have the necessary supplies.
S0127,23,Female,BSCS,2nd Year,3.08,87.25,12.2,Yes,1,Good,"The canteen has improved a lot recently. The food is better, and the service is faster."
S0128,20,Male,BSECE,3rd Year,1.41,67.49,9.48,Yes,6,Dropout_Risk,Security guards are friendly and respectful. I feel safe walking around campus.
S0129,23,Female,BSME,4th Year,3.95,62.52,13.86,Yes,10,Dropout_Risk,There are clear signs and directions all over campus. It?s easy to find classrooms and offices.
S0130,20,Male,BSECE,2nd Year,1.81,80.52,1.99,No,7,Probation,Our school celebrates student diversity through events and awareness weeks.
S0131,24,Female,BSIT,4th Year,2.46,69.01,3.86,Yes,5,Dropout_Risk,Most classrooms now have projectors and sound systems. It really helps us see and hear lessons clearly.
S0132,20,Female,BSME,2nd Year,4.9,57.86,6.01,No,1,Dropout_Risk,"The library is quiet and comfortable, with plenty of space to study."
S0133,21,Female,BSECE,4th Year,2.8,60.14,14.69,No,8,Probation,"The air conditioning in classrooms is very helpful, especially during summer. It keeps us comfortable and focused."
S0134,21,Male,BSECE,4th Year,4.16,72.82,11.06,Yes,0,Dropout_Risk,"I always see the janitorial staff cleaning, even during class hours. They?re doing a great job keeping the environment tidy."
S0135,24,Male,BSIT,1st Year,1.1,83.66,19.6,No,7,Good,"The library is quiet and comfortable, with plenty of space to study."
S0136,18,Male,BSCE,2nd Year,3.55,84.15,7.82,No,10,Good,Security guards are friendly and respectful. I feel safe walking around campus even at night.
S0137,25,Male,BSECE,4th Year,1.26,92.12,6.01,Yes,0,Probation,The guidance office is easy to approach and very helpful.
S0138,18,Female,BSIT,1st Year,2.76,88.56,9.14,No,9,Dropout_Risk,Restrooms are usually clean and have the necessary supplies. This makes staying on campus more comfortable.
S0139,24,Female,BSME,1st Year,4.12,54.56,3.63,Yes,3,Dropout_Risk,There’s a culture of respect here. It feels like a second home because of how welcoming everyone is.
S0140,24,Female,BSME,2nd Year,1.2,73.56,7.1,No,4,Probation,The COVID-19 safety protocols are well-implemented. There are alcohol dispensers and temperature scanners at every building.
S0141,21,Female,BSIT,2nd Year,1.64,93.55,13.5,No,1,Good,"The library is quiet and comfortable, with plenty of space to study."
S0142,23,Female,BSECE,4th Year,4.29,56.83,0.71,No,4,Good,There are visible emergency exits and maps. This makes me feel prepared in case something happens.
S0143,20,Male,BSIT,4th Year,1.9,86.8,3.69,No,10,Dropout_Risk,Our school celebrates student diversity through events and awareness weeks.
S0144,23,Female,BSME,3rd Year,1.99,88.93,8.18,Yes,9,Good,I feel confident that the school prioritizes student safety. Regular fire and earthquake drills help us stay ready.
S0145,22,Male,BSECE,2nd Year,4.1,94.76,12.91,No,4,Dropout_Risk,"The library is quiet and comfortable, with plenty of space to study."
S0146,23,Female,BSCE,4th Year,1.01,51.47,6.99,Yes,9,Good,Garbage bins are placed in strategic areas. It encourages us to dispose of waste properly.
S0147,24,Female,BSIT,4th Year,2.84,60.74,16.46,Yes,8,Good,Security guards are friendly and respectful. I feel safe walking around campus.
S0148,24,Male,BSCE,3rd Year,2.38,60.35,1.17,No,7,Good,Crosswalks and traffic enforcers are present during peak hours. It helps reduce accidents near the school entrance.
S0149,24,Male,BSCE,2nd Year,1.89,65.34,18.38,Yes,10,Good,The academic environment is competitive but supportive.
S0150,24,Female,BSCE,2nd Year,3.86,53.84,11.66,No,0,Dropout_Risk,There?s always a nurse available at the clinic. I once visited for a headache and got assistance immediately.
S0151,25,Female,BSECE,3rd Year,4.49,91.13,8.48,Yes,4,Dropout_Risk,The campus grounds are clean and well-maintained.
S0152,22,Male,BSIT,4th Year,4.44,64.4,2.84,Yes,10,Dropout_Risk,The campus is generally quiet and peaceful. It?s a relaxing place to study and unwind.
S0153,23,Male,BSCE,2nd Year,4.28,51.64,4.82,Yes,7,Good,Our teachers explain topics clearly and are open to questions. I feel encouraged to participate in class.
S0154,25,Female,BSIT,1st Year,4.96,73.27,15.51,No,4,Probation,Our school celebrates student diversity through events and awareness weeks.
S0155,20,Female,BSECE,3rd Year,1.64,59.05,8.87,No,7,Good,I appreciate how some professors share extra resources and articles for deeper learning. It shows they care about our growth.
S0156,18,Female,BSCS,3rd Year,4.17,80.94,12.28,No,1,Probation,Our school celebrates student diversity through events and awareness weeks.
S0157,22,Male,BSECE,2nd Year,1.55,66.11,13.93,Yes,7,Probation,We receive grades on time through the online portal. It helps us track our performance easily.
S0158,24,Female,BSCE,2nd Year,3.41,90.63,8.19,No,7,Dropout_Risk,The campus grounds are clean and well-maintained.
S0159,21,Male,BSIT,4th Year,2.54,94.96,11.47,Yes,3,Dropout_Risk,Our program offers a good balance of theory and hands-on practice. It prepares us well for the real world.
S0160,23,Male,BSCE,1st Year,4.39,72.09,17.6,Yes,1,Probation,Our school celebrates student diversity through events and awareness weeks.
S0161,22,Female,BSCE,1st Year,4.05,52.3,13.3,No,0,Dropout_Risk,Class schedules are well-planned and spaced out. I don?t feel rushed or overwhelmed.
S0162,22,Male,BSCS,3rd Year,2.67,86.87,13.65,No,10,Dropout_Risk,There’s a culture of respect here. It feels like a second home because of how welcoming everyone is.
S0163,19,Female,BSCS,1st Year,3.16,71,12.21,Yes,3,Good,"Group work is encouraged, which helps us improve our teamwork and communication skills. It?s also more fun learning with peers."
S0164,25,Male,BSCE,1st Year,1.77,56.02,19.97,No,0,Dropout_Risk,There’s a culture of respect here. It feels like a second home because of how welcoming everyone is.
S0165,20,Male,BSCS,2nd Year,4.86,64.93,18.9,Yes,4,Probation,My professors are approachable even outside of class. They listen and give helpful advice.
S0166,20,Male,BSCE,4th Year,1.2,67.38,13.7,Yes,9,Good,Our school celebrates student diversity through events and awareness weeks.
S0167,24,Female,BSECE,4th Year,1.18,51,18.04,No,1,Dropout_Risk,The curriculum is up-to-date and aligned with industry needs. I feel confident about my future career.
S0168,23,Female,BSCE,1st Year,1.03,73.36,8.78,Yes,1,Dropout_Risk,Security guards are friendly and respectful. I feel safe walking around campus.
S0169,20,Female,BSME,3rd Year,3.83,97.11,11.39,Yes,8,Good,We use a lot of real-life examples and case studies in class. It makes the lessons more relevant and practical.
S0170,20,Male,BSME,1st Year,4.01,54.26,17.26,No,3,Good,"The library is quiet and comfortable, with plenty of space to study."
S0171,22,Male,BSCE,1st Year,3.42,95.17,9.06,Yes,5,Probation,Exams are fair and based on what we?ve discussed. I feel motivated to study when I know what to expect.
S0172,22,Male,BSME,1st Year,2.24,65.67,12.49,No,5,Good,There are so many student organizations to choose from. I found a group where I really belong.
S0173,25,Female,BSCE,1st Year,3.15,62.45,10.52,Yes,3,Good,The academic environment is competitive but supportive.
S0174,19,Male,BSIT,2nd Year,4.42,96.58,7.82,Yes,0,Dropout_Risk,Our school celebrates student diversity through events and awareness weeks. It?s inspiring and unifying.
S0175,25,Male,BSCS,2nd Year,3.64,81.17,11.01,Yes,10,Good,The campus grounds are clean and well-maintained.
S0176,21,Male,BSME,4th Year,3.61,57.28,9.89,Yes,4,Good,Being part of the student council helped me grow as a leader. I learned how to manage events and listen to others.
S0177,18,Female,BSIT,4th Year,4.06,72.85,0.73,Yes,3,Probation,Restrooms are usually clean and have the necessary supplies.
S0178,19,Male,BSME,3rd Year,4.28,59.42,7.54,No,9,Dropout_Risk,I enjoy the school fairs and sports fests. They?re well-organized and bring the community together.
S0179,24,Female,BSME,1st Year,3.1,64.26,14.64,Yes,7,Probation,"The library is quiet and comfortable, with plenty of space to study."
S0180,18,Female,BSCS,1st Year,4.75,78.22,12.91,No,1,Probation,There are plenty of workshops and seminars throughout the year. I?ve learned a lot beyond the classroom.
S0181,23,Female,BSCE,2nd Year,2.18,86.2,0.63,No,5,Dropout_Risk,The campus grounds are clean and well-maintained.
S0182,20,Female,BSIT,3rd Year,1.97,94.6,4.76,Yes,3,Dropout_Risk,We have good representation in student governance. They regularly update us and ask for our input.
S0183,18,Female,BSECE,4th Year,1.19,80.19,17.45,Yes,2,Good,Security guards are friendly and respectful. I feel safe walking around campus.
S0184,24,Male,BSCE,4th Year,2.17,96.86,3.19,Yes,4,Probation,The arts and cultural programs are very enriching. I got to perform for the first time because of school support.
S0185,23,Male,BSCE,1st Year,3.71,72.65,9.93,No,0,Good,"The library is quiet and comfortable, with plenty of space to study."
S0186,25,Female,BSCE,4th Year,1.25,81.12,9.85,Yes,6,Probation,Volunteer opportunities are abundant. It helped me become more socially aware and compassionate.
S0187,21,Female,BSIT,4th Year,2.12,84.02,17.07,No,9,Probation,"The library is quiet and comfortable, with plenty of space to study."
S0188,24,Male,BSCE,1st Year,2.48,71.78,13.6,No,8,Good,The school promotes a positive and supportive atmosphere. People are respectful and friendly.
S0189,23,Female,BSME,3rd Year,1.48,76.88,8.53,Yes,1,Good,Restrooms are usually clean and have the necessary supplies.
S0190,18,Female,BSECE,3rd Year,4.43,67.46,12.44,No,4,Dropout_Risk,There?s always something exciting happening on campus. It keeps me engaged and motivated.
S0191,21,Female,BSCE,1st Year,2.5,84.62,13.52,No,3,Probation,The guidance office is easy to approach and very helpful. I always feel supported when I talk to them.
S0192,22,Male,BSCS,4th Year,1.76,53.31,15.44,No,10,Probation,The academic environment is competitive but supportive.
S0193,22,Female,BSCS,3rd Year,3.76,72.57,19.37,Yes,5,Good,I like how inclusive our school is. Everyone is treated equally regardless of their background.
S0194,18,Male,BSME,2nd Year,3.65,62.33,6.93,Yes,6,Dropout_Risk,The campus grounds are clean and well-maintained.
S0195,24,Male,BSME,3rd Year,2.42,61.14,4.11,Yes,10,Probation,We had a mental health awareness week that helped me and my friends a lot. It made us feel seen and cared for.
S0196,21,Female,BSCE,4th Year,1.86,90.1,1.99,Yes,6,Good,The academic environment is competitive but supportive.
